,date,open,high,low,close,volume,outstanding_share,turnover
0,2024-02-26,12.0,12.0,11.33,11.56,110404635.0,1074302990.0,0.10276861930729617
1,2024-02-27,11.58,12.72,11.38,12.5,114111834.0,1074302990.0,0.10621941394764246
2,2024-02-28,12.3,12.95,11.58,11.61,91171361.0,1074302990.0,0.08486559364411711
3,2024-02-29,11.42,12.1,11.39,12.0,59294130.0,1074302990.0,0.05519311642239774
4,2024-03-01,11.86,12.43,11.85,12.4,57027828.0,1074302990.0,0.053083560718750304
5,2024-03-04,12.39,12.54,11.92,12.27,48647600.0,1074302990.0,0.04528294201247639
6,2024-03-05,12.21,12.34,12.0,12.05,36569605.0,1074302990.0,0.0340403083119037
7,2024-03-06,11.94,12.16,11.79,12.16,32965892.0,1074302990.0,0.03068584217567895
8,2024-03-07,12.18,13.02,12.02,12.75,93067215.0,1074302990.0,0.08663032297806413
9,2024-03-08,12.45,12.93,12.1,12.6,75094535.0,1074302990.0,0.06990070371115695
10,2024-03-11,12.15,12.53,11.9,12.46,53041088.0,1074302990.0,0.049372559225586816
11,2024-03-12,12.6,13.36,12.32,13.15,86441204.0,1074302990.0,0.08046259277375743
12,2024-03-13,12.9,13.21,12.75,12.92,69936047.0,1074302990.0,0.06509899688541312
13,2024-03-14,12.73,13.12,12.36,12.6,48935135.0,1074302990.0,0.045550589969036576
14,2024-03-15,12.71,12.73,12.28,12.54,33701061.0,1074302990.0,0.03137016401676402
15,2024-03-18,12.68,13.5,12.66,13.19,72572483.0,1074302990.0,0.06755308667622716
16,2024-03-19,13.13,13.26,12.92,13.07,45531854.0,1074302990.0,0.04238269317299396
17,2024-03-20,13.03,13.35,12.95,13.34,54913165.0,1074302990.0,0.05111515606970432
18,2024-03-21,13.66,14.24,13.38,13.71,84276731.0,1074302990.0,0.0784478231788222
19,2024-03-22,14.1,15.08,13.9,15.08,102689694.0,1074302990.0,0.09558727375412034
20,2024-03-25,15.88,16.59,14.74,14.86,171781958.0,1074302990.0,0.15990084696683196
21,2024-03-26,14.46,15.58,13.6,13.92,119374394.0,1074302990.0,0.11111799474745947
22,2024-03-27,13.48,13.79,12.7,12.76,99722931.0,1074302990.0,0.0928257036685712
23,2024-03-28,13.0,13.61,12.7,13.29,71875302.0,1074302990.0,0.06690412543671688
24,2024-03-29,13.33,13.39,12.75,12.9,50504387.0,1074302990.0,0.04701130637270218
25,2024-04-01,13.1,13.66,13.05,13.48,58677431.0,1074302990.0,0.05461907073348088
26,2024-04-02,13.48,13.5,12.74,12.85,59940885.0,1074302990.0,0.055795139320984295
27,2024-04-03,12.75,12.79,12.15,12.19,45768918.0,1074302990.0,0.04260336090100615
28,2024-04-08,12.05,12.5,12.01,12.26,30377704.0,1074302990.0,0.028276663364773844
29,2024-04-09,12.32,12.38,11.89,12.11,25167608.0,1074302990.0,0.023426917949842065
30,2024-04-10,12.01,12.38,11.74,12.29,37241279.0,1074302990.0,0.034665526715140206
31,2024-04-11,12.12,12.95,12.11,12.62,49229547.0,1074302990.0,0.04582463928542171
32,2024-04-12,12.69,12.95,12.4,12.47,42087640.0,1074302990.0,0.039176694463076936
33,2024-04-15,12.41,12.57,12.03,12.21,32421642.0,1074302990.0,0.030179234631004796
34,2024-04-16,12.21,12.27,11.27,11.3,40557777.0,1074302990.0,0.037752642762355154
35,2024-04-17,11.55,12.11,11.47,12.06,32277663.0,1074302990.0,0.03004521378089062
36,2024-04-18,12.06,12.29,11.81,11.94,28076932.0,1074302990.0,0.026135021740933625
37,2024-04-19,11.9,11.96,11.61,11.69,20509636.0,1074302990.0,0.01909110948299604
38,2024-04-22,11.41,11.64,11.11,11.4,17882141.0,1074302990.0,0.016645342297706908
39,2024-04-23,11.47,11.62,11.31,11.34,15365708.0,1074302990.0,0.014302955630794624
40,2024-04-24,11.4,12.1,11.4,12.03,31028493.0,1074302990.0,0.028882441256167405
41,2024-04-25,12.03,12.06,11.86,11.9,19542377.0,1074302990.0,0.018190749892635038
42,2024-04-26,11.98,12.77,11.98,12.61,43160249.0,1074302990.0,0.04017511763604046
43,2024-04-29,13.07,13.52,13.0,13.31,49353514.0,1074302990.0,0.04594003224360383
44,2024-04-30,13.59,13.69,13.18,13.32,40387080.0,1074302990.0,0.03759375183345622
45,2024-05-06,13.59,13.67,13.15,13.19,31757306.0,1074302990.0,0.029560846703033005
46,2024-05-07,13.11,13.49,12.98,13.18,30142265.0,1074302990.0,0.028057508245415943
47,2024-05-08,13.11,13.12,12.61,12.65,28690701.0,1074302990.0,0.026706340080092303
48,2024-05-09,12.71,12.77,12.51,12.69,25441880.0,1074302990.0,0.023682220227274987
49,2024-05-10,12.61,12.71,12.33,12.41,22825188.0,1074302990.0,0.021246508864319554
50,2024-05-13,12.38,12.38,11.88,11.94,32848312.0,1074302990.0,0.030576394467635243
51,2024-05-14,12.01,12.18,11.91,12.09,19723067.0,1074302990.0,0.01835894266663076
