,date,code,close,tradeStatus
0,2025-01-02,sh.601127,128.5400,1
1,2025-01-03,sh.601127,124.9800,1
2,2025-01-06,sh.601127,124.0000,1
3,2025-01-07,sh.601127,129.2600,1
4,2025-01-08,sh.601127,127.7800,1
5,2025-01-09,sh.601127,128.9600,1
6,2025-01-10,sh.601127,128.1700,1
7,2025-01-13,sh.601127,132.0000,1
8,2025-01-14,sh.601127,138.7100,1
9,2025-01-15,sh.601127,137.8000,1
10,2025-01-16,sh.601127,135.3900,1
11,2025-01-17,sh.601127,135.0700,1
12,2025-01-20,sh.601127,136.6600,1
13,2025-01-21,sh.601127,138.9100,1
14,2025-01-22,sh.601127,131.9000,1
15,2025-01-23,sh.601127,131.7000,1
16,2025-01-24,sh.601127,132.8000,1
17,2025-01-27,sh.601127,132.7900,1
18,2025-02-05,sh.601127,127.5000,1
19,2025-02-06,sh.601127,130.9900,1
20,2025-02-07,sh.601127,132.6400,1
21,2025-02-10,sh.601127,132.7700,1
22,2025-02-11,sh.601127,125.2000,1
23,2025-02-12,sh.601127,123.6600,1
24,2025-02-13,sh.601127,120.0300,1
25,2025-02-14,sh.601127,122.1700,1
26,2025-02-17,sh.601127,121.0800,1
27,2025-02-18,sh.601127,119.0200,1
28,2025-02-19,sh.601127,119.4900,1
29,2025-02-20,sh.601127,122.9600,1
30,2025-02-21,sh.601127,122.6200,1
31,2025-02-24,sh.601127,123.7100,1
32,2025-02-25,sh.601127,127.9800,1
33,2025-02-26,sh.601127,126.0600,1
34,2025-02-27,sh.601127,126.8800,1
35,2025-02-28,sh.601127,121.5100,1
36,2025-03-03,sh.601127,122.5000,1
37,2025-03-04,sh.601127,122.9000,1
38,2025-03-05,sh.601127,126.6000,1
39,2025-03-06,sh.601127,134.8700,1
40,2025-03-07,sh.601127,134.5400,1
41,2025-03-10,sh.601127,132.8500,1
42,2025-03-11,sh.601127,130.8600,1
43,2025-03-12,sh.601127,128.8000,1
44,2025-03-13,sh.601127,126.3400,1
45,2025-03-14,sh.601127,129.4200,1
46,2025-03-17,sh.601127,127.8700,1
47,2025-03-18,sh.601127,128.1600,1
48,2025-03-19,sh.601127,127.3200,1
49,2025-03-20,sh.601127,127.9300,1
50,2025-03-21,sh.601127,124.3800,1
51,2025-03-24,sh.601127,124.4600,1
52,2025-03-25,sh.601127,122.4000,1
53,2025-03-26,sh.601127,123.7000,1
54,2025-03-27,sh.601127,126.9000,1
55,2025-03-28,sh.601127,127.0800,1
56,2025-03-31,sh.601127,125.8900,1
57,2025-04-01,sh.601127,125.8200,1
58,2025-04-02,sh.601127,125.3100,1
59,2025-04-03,sh.601127,124.6000,1
60,2025-04-07,sh.601127,113.8000,1
61,2025-04-08,sh.601127,121.8000,1
62,2025-04-09,sh.601127,125.0000,1
63,2025-04-10,sh.601127,126.5000,1
64,2025-04-11,sh.601127,127.2300,1
65,2025-04-14,sh.601127,134.9600,1
66,2025-04-15,sh.601127,134.4000,1
67,2025-04-16,sh.601127,136.0000,1
68,2025-04-17,sh.601127,130.7600,1
69,2025-04-18,sh.601127,130.6100,1
70,2025-04-21,sh.601127,130.6000,1
71,2025-04-22,sh.601127,129.8000,1
72,2025-04-23,sh.601127,129.3900,1
73,2025-04-24,sh.601127,128.8600,1
74,2025-04-25,sh.601127,128.9900,1
75,2025-04-28,sh.601127,127.2500,1
76,2025-04-29,sh.601127,126.7900,1
77,2025-04-30,sh.601127,130.2800,1
78,2025-05-06,sh.601127,130.0300,1
79,2025-05-07,sh.601127,130.0000,1
80,2025-05-08,sh.601127,128.6800,1
81,2025-05-09,sh.601127,128.3600,1
82,2025-05-12,sh.601127,129.0900,1
83,2025-05-13,sh.601127,127.4500,1
84,2025-05-14,sh.601127,130.1700,1
85,2025-05-15,sh.601127,128.5000,1
86,2025-05-16,sh.601127,129.8000,1
87,2025-05-19,sh.601127,129.4000,1
88,2025-05-20,sh.601127,130.5000,1
89,2025-05-21,sh.601127,133.5000,1
90,2025-05-22,sh.601127,132.6100,1
91,2025-05-23,sh.601127,145.8700,1
92,2025-05-26,sh.601127,139.7000,1
93,2025-05-27,sh.601127,138.2100,1
94,2025-05-28,sh.601127,134.0500,1
95,2025-05-29,sh.601127,135.0800,1
