,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,40.51,40.51,38.52,39.05,3920101.0,153337606.0,93678696.0,0.04184623791091199
1,2024-10-23,38.98,41.45,38.5,40.17,4143093.0,166997394.0,93678696.0,0.044226629713120684
2,2024-10-24,39.82,40.45,39.05,39.3,2419058.0,95726308.0,93678696.0,0.02582292563081792
3,2024-10-25,39.54,40.88,39.0,40.1,2494147.0,99629349.0,93678696.0,0.026624484610673915
4,2024-10-28,40.5,40.88,39.82,40.1,2171540.0,87305238.0,93678696.0,0.023180724035697507
5,2024-10-29,40.05,40.68,38.35,38.35,2874788.0,113411355.0,93678696.0,0.03068774569620397
6,2024-10-30,37.88,38.46,36.9,37.58,2980735.0,112350807.0,93678696.0,0.03181870721172293
7,2024-10-31,37.58,39.28,36.76,38.59,2747139.0,104859531.0,93678696.0,0.029325119982455777
8,2024-11-01,38.48,38.96,35.57,35.58,3056103.0,111844311.0,93678696.0,0.03262324445677596
9,2024-11-04,35.05,36.27,35.05,36.27,1803056.0,64691022.0,93678696.0,0.019247236319344156
10,2024-11-05,36.3,39.8,35.99,39.49,3640532.0,140277496.0,93678696.0,0.03886189876084526
11,2024-11-06,39.98,40.77,38.75,39.05,3407822.0,135882366.0,93678696.0,0.03637776939166617
12,2024-11-07,39.03,40.19,38.41,40.16,2437331.0,95759824.0,93678696.0,0.026017985989044937
13,2024-11-08,40.68,42.56,40.68,40.98,3723177.0,154968575.0,93678696.0,0.03974411642109109
14,2024-11-11,41.0,44.96,41.0,44.2,4974161.0,216175105.0,93678696.0,0.05309810247572191
15,2024-11-12,45.73,45.95,41.81,42.15,5559428.0,243578963.0,93678696.0,0.059345702250167956
16,2024-11-13,42.15,43.94,41.4,43.01,3406239.0,144909417.0,93678696.0,0.036360871205978355
17,2024-11-14,43.2,45.89,42.73,42.73,5424968.0,240605570.0,93678696.0,0.057910370571341005
18,2024-11-15,42.14,45.13,42.14,42.44,4298203.0,187262145.0,93678696.0,0.04588239571567051
19,2024-11-18,42.2,42.44,37.29,38.38,5644278.0,219006106.0,93678696.0,0.06025145781277741
20,2024-11-19,38.36,39.19,36.6,38.94,3522941.0,133316823.0,93678696.0,0.0376066400411893
21,2024-11-20,38.8,40.44,38.45,39.72,2635813.0,103727329.0,93678696.0,0.028136738794912346
22,2024-11-21,40.31,47.66,40.1,47.66,6286019.0,283609358.0,93678696.0,0.0671019054321593
23,2024-11-22,52.0,54.99,49.41,50.2,15143309.0,783056101.0,93678696.0,0.16165157764365123
24,2024-11-25,50.94,51.55,44.59,47.75,10420913.0,488127537.0,93678696.0,0.11124101257771564
25,2024-11-26,46.15,47.5,43.51,43.7,5930233.0,269165034.0,93678696.0,0.06330396614402062
