,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2024-10-22,4.23,4.29,4.18,4.28,717453717.0,3047262477.0,36851897866.0,0.019468569016683708
1,2024-10-23,4.28,4.42,4.26,4.34,943893003.0,4101150298.0,36851897866.0,0.02561314498461277
2,2024-10-24,4.31,4.32,4.23,4.25,484610717.0,2063701149.0,36851897866.0,0.013150224142108773
3,2024-10-25,4.25,4.39,4.24,4.37,704225468.0,3054323702.0,36851897866.0,0.01910961195433375
4,2024-10-28,4.37,4.37,4.29,4.35,667338928.0,2883064498.0,36851897866.0,0.018108671917700467
5,2024-10-29,4.37,4.38,4.3,4.31,565078058.0,2449711434.0,36851897866.0,0.015333757302126568
6,2024-10-30,4.31,4.62,4.29,4.52,1756182506.0,7873931174.0,36851897866.0,0.047655144176991626
7,2024-10-31,4.61,4.75,4.44,4.67,2057376082.0,9439066969.0,36851897866.0,0.05582822598393663
8,2024-11-01,4.7,4.73,4.44,4.46,1422533931.0,6464534866.0,36851897866.0,0.03860137505461955
9,2024-11-04,4.45,4.56,4.43,4.5,710848080.0,3203193383.0,36851897866.0,0.019289320799291503
10,2024-11-05,4.52,4.65,4.49,4.62,1084820919.0,4977801359.0,36851897866.0,0.02943731481468336
11,2024-11-06,4.63,4.64,4.52,4.57,932691539.0,4271153937.0,36851897866.0,0.025309186039520433
12,2024-11-07,4.54,4.66,4.52,4.66,1028628512.0,4735598648.0,36851897866.0,0.027912497634186295
13,2024-11-08,4.68,4.71,4.6,4.63,879021872.0,4093173218.0,36851897866.0,0.023852825034853798
14,2024-11-11,4.6,4.72,4.57,4.66,958376289.0,4455056099.0,36851897866.0,0.026006158284841263
15,2024-11-12,4.65,4.68,4.51,4.54,996253801.0,4585001481.0,36851897866.0,0.027033988985385626
16,2024-11-13,4.51,4.57,4.47,4.55,662013028.0,2987642307.0,36851897866.0,0.01796415018860619
17,2024-11-14,4.56,4.57,4.4,4.4,689238968.0,3082907196.0,36851897866.0,0.018702943617888948
18,2024-11-15,4.39,4.54,4.38,4.41,778116803.0,3472426459.0,36851897866.0,0.02111470095324181
19,2024-11-18,4.5,4.54,4.4,4.41,834495592.0,3727032797.0,36851897866.0,0.022644575729433885
20,2024-11-19,4.42,4.44,4.29,4.4,742327636.0,3240828429.0,36851897866.0,0.020143538840231085
21,2024-11-20,4.41,4.43,4.37,4.41,448523352.0,1973634223.0,36851897866.0,0.01217097023417654
22,2024-11-21,4.41,4.42,4.35,4.37,436590523.0,1911660569.0,36851897866.0,0.011847165228437356
23,2024-11-22,4.36,4.39,4.24,4.24,574991771.0,2486567679.0,36851897866.0,0.015602772293865882
24,2024-11-25,4.24,4.26,4.16,4.2,539312222.0,2270746985.0,36851897866.0,0.014634584735935022
25,2024-11-26,4.19,4.24,4.18,4.19,420739192.0,1769736757.0,36851897866.0,0.011417029145415574
26,2024-11-27,4.19,4.31,4.15,4.3,569823478.0,2414487461.0,36851897866.0,0.015462527332295847
27,2024-11-28,4.3,4.31,4.25,4.26,345027850.0,1475634018.0,36851897866.0,0.009362553083550327
28,2024-11-29,4.26,4.33,4.25,4.3,427220739.0,1833585184.0,36851897866.0,0.011592910100680566
29,2024-12-02,4.31,4.34,4.3,4.32,429943349.0,1858405741.0,36851897866.0,0.011666789877779154
30,2024-12-03,4.32,4.33,4.28,4.31,395104973.0,1701106431.0,36851897866.0,0.010721428091347462
31,2024-12-04,4.31,4.32,4.25,4.26,449792160.0,1924035912.0,36851897866.0,0.012205400157015621
32,2024-12-05,4.25,4.28,4.24,4.26,335981608.0,1432250690.0,36851897866.0,0.009117077476489498
33,2024-12-06,4.26,4.32,4.25,4.31,479284158.0,2060279634.0,36851555686.0,0.013005805293101405
34,2024-12-09,4.31,4.33,4.26,4.29,429486729.0,1841863509.0,36851555686.0,0.011654507415087584
35,2024-12-10,4.36,4.41,4.33,4.35,764678241.0,3342667530.0,36851555686.0,0.020750229583672723
36,2024-12-11,4.34,4.4,4.31,4.39,580774532.0,2542209748.0,36851555686.0,0.015759837575069803
37,2024-12-12,4.39,4.42,4.36,4.39,510124393.0,2236989611.0,36851555686.0,0.013842682717294282
38,2024-12-13,4.38,4.44,4.34,4.36,700493864.0,3067845668.0,36851555686.0,0.019008528974154528
39,2024-12-16,4.35,4.38,4.29,4.3,427209163.0,1852290127.0,36851555686.0,0.011592703619898951
40,2024-12-17,4.3,4.38,4.3,4.33,462989745.0,2007493244.0,36851555686.0,0.012563641788829311
41,2024-12-18,4.33,4.43,4.33,4.38,527338216.0,2315466105.0,36851555686.0,0.014309795236143508
42,2024-12-19,4.37,4.43,4.34,4.43,490621906.0,2158030119.0,36851555686.0,0.013313465249077354
43,2024-12-20,4.42,4.44,4.38,4.39,419387629.0,1849366873.0,36851555686.0,0.011380459283007323
44,2024-12-23,4.41,4.5,4.36,4.36,639410313.0,2821446702.0,36851555686.0,0.017350972057956122
45,2024-12-24,4.37,4.41,4.35,4.4,457997109.0,2008010806.0,36851555686.0,0.0124281621352011
46,2024-12-25,4.4,4.41,4.34,4.38,317548389.0,1388520663.0,36851555686.0,0.008616960209379639
47,2024-12-26,4.37,4.4,4.35,4.38,306241650.0,1341682813.0,36851555686.0,0.008310141710417452
48,2024-12-27,4.37,4.39,4.34,4.34,435324047.0,1899579069.0,36851555686.0,0.011812908272021218
49,2024-12-30,4.36,4.46,4.34,4.45,800319476.0,3539711595.0,36851555686.0,0.021717386446837125
50,2024-12-31,4.44,4.47,4.38,4.39,721383487.0,3182210971.0,36851555686.0,0.01957538762126277
51,2025-01-02,4.39,4.4,4.21,4.24,750407680.0,3228058594.0,36851555686.0,0.020362985117751264
52,2025-01-03,4.24,4.29,4.2,4.2,485116223.0,2057630950.0,36851555686.0,0.013164063605170863
53,2025-01-06,4.2,4.22,4.13,4.18,423502671.0,1768260904.0,36851555686.0,0.011492124636705358
54,2025-01-07,4.19,4.48,4.18,4.43,1115358647.0,4896053477.0,36851555686.0,0.030266256776338145
55,2025-01-08,4.38,4.39,4.24,4.32,754891654.0,3254631813.0,36851555686.0,0.020484661772007234
