,date,code,close,tradeStatus
0,2024-10-22,sz.300248,9.1700,1
1,2024-10-23,sz.300248,9.0900,1
2,2024-10-24,sz.300248,8.9800,1
3,2024-10-25,sz.300248,9.0800,1
4,2024-10-28,sz.300248,9.3600,1
5,2024-10-29,sz.300248,9.6200,1
6,2024-10-30,sz.300248,10.3900,1
7,2024-10-31,sz.300248,10.1800,1
8,2024-11-01,sz.300248,9.1800,1
9,2024-11-04,sz.300248,9.2900,1
10,2024-11-05,sz.300248,9.7300,1
11,2024-11-06,sz.300248,9.7000,1
12,2024-11-07,sz.300248,9.9500,1
13,2024-11-08,sz.300248,9.9300,1
14,2024-11-11,sz.300248,11.3300,1
15,2024-11-12,sz.300248,11.0100,1
16,2024-11-13,sz.300248,10.7200,1
17,2024-11-14,sz.300248,11.2100,1
18,2024-11-15,sz.300248,12.1800,1
19,2024-11-18,sz.300248,10.7300,1
20,2024-11-19,sz.300248,11.8500,1
21,2024-11-20,sz.300248,12.1800,1
22,2024-11-21,sz.300248,11.6400,1
23,2024-11-22,sz.300248,11.2300,1
24,2024-11-25,sz.300248,11.1000,1
25,2024-11-26,sz.300248,11.1000,1
26,2024-11-27,sz.300248,11.0900,1
27,2024-11-28,sz.300248,11.1200,1
28,2024-11-29,sz.300248,11.9300,1
29,2024-12-02,sz.300248,12.0000,1
30,2024-12-03,sz.300248,11.7600,1
31,2024-12-04,sz.300248,12.3100,1
32,2024-12-05,sz.300248,12.4300,1
33,2024-12-06,sz.300248,12.0200,1
34,2024-12-09,sz.300248,11.9500,1
35,2024-12-10,sz.300248,11.9800,1
36,2024-12-11,sz.300248,12.1100,1
37,2024-12-12,sz.300248,12.2800,1
38,2024-12-13,sz.300248,11.5100,1
39,2024-12-16,sz.300248,11.1900,1
40,2024-12-17,sz.300248,10.6200,1
41,2024-12-18,sz.300248,10.7600,1
42,2024-12-19,sz.300248,10.8400,1
43,2024-12-20,sz.300248,10.9700,1
44,2024-12-23,sz.300248,10.2300,1
45,2024-12-24,sz.300248,10.3000,1
46,2024-12-25,sz.300248,9.8900,1
47,2024-12-26,sz.300248,10.0900,1
48,2024-12-27,sz.300248,10.1600,1
49,2024-12-30,sz.300248,10.1200,1
50,2024-12-31,sz.300248,9.6900,1
51,2025-01-02,sz.300248,9.4700,1
52,2025-01-03,sz.300248,8.8900,1
53,2025-01-06,sz.300248,8.8900,1
54,2025-01-07,sz.300248,9.1800,1
55,2025-01-08,sz.300248,9.0400,1
56,2025-01-09,sz.300248,9.1000,1
57,2025-01-10,sz.300248,8.7600,1
58,2025-01-13,sz.300248,8.9100,1
59,2025-01-14,sz.300248,9.4900,1
60,2025-01-15,sz.300248,9.3900,1
61,2025-01-16,sz.300248,9.4100,1
62,2025-01-17,sz.300248,9.4400,1
63,2025-01-20,sz.300248,9.5900,1
64,2025-01-21,sz.300248,9.5700,1
65,2025-01-22,sz.300248,9.4800,1
66,2025-01-23,sz.300248,10.4800,1
67,2025-01-24,sz.300248,11.4300,1
68,2025-01-27,sz.300248,11.2700,1
69,2025-02-05,sz.300248,11.5700,1
70,2025-02-06,sz.300248,11.5600,1
71,2025-02-07,sz.300248,11.7700,1
72,2025-02-10,sz.300248,12.0900,1
73,2025-02-11,sz.300248,11.9200,1
74,2025-02-12,sz.300248,12.1500,1
75,2025-02-13,sz.300248,12.0700,1
