date,open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2021-01-11 00:00:00+00:00,5.5,5.54,5.44,5.51,5.51,5.58,5.47,5.48,5.47,5.48,5.33,5.36,5.36,5.36,5.06,5.13,5.09,5.27,5.04,5.24,5.13
2021-01-12 00:00:00+00:00,5.51,5.58,5.47,5.48,5.47,5.48,5.33,5.36,5.36,5.36,5.06,5.13,5.09,5.27,5.04,5.24,5.24,5.32,5.09,5.13,5.15
2021-01-13 00:00:00+00:00,5.47,5.48,5.33,5.36,5.36,5.36,5.06,5.13,5.09,5.27,5.04,5.24,5.24,5.32,5.09,5.13,5.12,5.25,5.09,5.15,4.99
2021-01-14 00:00:00+00:00,5.36,5.36,5.06,5.13,5.09,5.27,5.04,5.24,5.24,5.32,5.09,5.13,5.12,5.25,5.09,5.15,5.15,5.18,4.96,4.99,5.48
2021-01-15 00:00:00+00:00,5.09,5.27,5.04,5.24,5.24,5.32,5.09,5.13,5.12,5.25,5.09,5.15,5.15,5.18,4.96,4.99,4.99,5.48,4.95,5.48,5.41
2021-01-18 00:00:00+00:00,5.24,5.32,5.09,5.13,5.12,5.25,5.09,5.15,5.15,5.18,4.96,4.99,4.99,5.48,4.95,5.48,5.66,5.69,5.34,5.41,5.45
2021-01-19 00:00:00+00:00,5.12,5.25,5.09,5.15,5.15,5.18,4.96,4.99,4.99,5.48,4.95,5.48,5.66,5.69,5.34,5.41,5.37,5.47,5.32,5.45,5.48
2021-01-20 00:00:00+00:00,5.15,5.18,4.96,4.99,4.99,5.48,4.95,5.48,5.66,5.69,5.34,5.41,5.37,5.47,5.32,5.45,5.44,5.62,5.37,5.48,5.43
2021-01-21 00:00:00+00:00,4.99,5.48,4.95,5.48,5.66,5.69,5.34,5.41,5.37,5.47,5.32,5.45,5.44,5.62,5.37,5.48,5.5,5.53,5.4,5.43,5.43
2021-01-22 00:00:00+00:00,5.66,5.69,5.34,5.41,5.37,5.47,5.32,5.45,5.44,5.62,5.37,5.48,5.5,5.53,5.4,5.43,5.41,5.47,5.34,5.43,5.29
2021-01-25 00:00:00+00:00,5.37,5.47,5.32,5.45,5.44,5.62,5.37,5.48,5.5,5.53,5.4,5.43,5.41,5.47,5.34,5.43,5.43,5.44,5.27,5.29,5.11
2021-01-26 00:00:00+00:00,5.44,5.62,5.37,5.48,5.5,5.53,5.4,5.43,5.41,5.47,5.34,5.43,5.43,5.44,5.27,5.29,5.24,5.26,5.1,5.11,5.12
2021-01-27 00:00:00+00:00,5.5,5.53,5.4,5.43,5.41,5.47,5.34,5.43,5.43,5.44,5.27,5.29,5.24,5.26,5.1,5.11,5.09,5.22,5.08,5.12,5.12
2021-01-28 00:00:00+00:00,5.41,5.47,5.34,5.43,5.43,5.44,5.27,5.29,5.24,5.26,5.1,5.11,5.09,5.22,5.08,5.12,5.11,5.17,5.06,5.12,5.28
2021-01-29 00:00:00+00:00,5.43,5.44,5.27,5.29,5.24,5.26,5.1,5.11,5.09,5.22,5.08,5.12,5.11,5.17,5.06,5.12,5.1,5.32,5.08,5.28,5.08
2021-02-01 00:00:00+00:00,5.24,5.26,5.1,5.11,5.09,5.22,5.08,5.12,5.11,5.17,5.06,5.12,5.1,5.32,5.08,5.28,5.22,5.28,5.02,5.08,5.13
2021-02-02 00:00:00+00:00,5.09,5.22,5.08,5.12,5.11,5.17,5.06,5.12,5.1,5.32,5.08,5.28,5.22,5.28,5.02,5.08,5.08,5.2,5.07,5.13,5.15
2021-02-03 00:00:00+00:00,5.11,5.17,5.06,5.12,5.1,5.32,5.08,5.28,5.22,5.28,5.02,5.08,5.08,5.2,5.07,5.13,5.14,5.24,5.09,5.15,4.99
2021-02-04 00:00:00+00:00,5.1,5.32,5.08,5.28,5.22,5.28,5.02,5.08,5.08,5.2,5.07,5.13,5.14,5.24,5.09,5.15,5.15,5.17,4.97,4.99,4.86
2021-02-05 00:00:00+00:00,5.22,5.28,5.02,5.08,5.08,5.2,5.07,5.13,5.14,5.24,5.09,5.15,5.15,5.17,4.97,4.99,4.99,5.01,4.85,4.86,4.83
2021-02-08 00:00:00+00:00,5.08,5.2,5.07,5.13,5.14,5.24,5.09,5.15,5.15,5.17,4.97,4.99,4.99,5.01,4.85,4.86,4.89,4.96,4.82,4.83,4.9
2021-02-09 00:00:00+00:00,5.14,5.24,5.09,5.15,5.15,5.17,4.97,4.99,4.99,5.01,4.85,4.86,4.89,4.96,4.82,4.83,4.84,4.94,4.84,4.9,4.97
2021-02-10 00:00:00+00:00,5.15,5.17,4.97,4.99,4.99,5.01,4.85,4.86,4.89,4.96,4.82,4.83,4.84,4.94,4.84,4.9,4.85,4.98,4.85,4.97,4.96
2021-02-18 00:00:00+00:00,4.99,5.01,4.85,4.86,4.89,4.96,4.82,4.83,4.84,4.94,4.84,4.9,4.85,4.98,4.85,4.97,4.97,4.99,4.94,4.96,5.08
2021-02-19 00:00:00+00:00,4.89,4.96,4.82,4.83,4.84,4.94,4.84,4.9,4.85,4.98,4.85,4.97,4.97,4.99,4.94,4.96,5.0,5.12,4.99,5.08,5.27
2021-02-22 00:00:00+00:00,4.84,4.94,4.84,4.9,4.85,4.98,4.85,4.97,4.97,4.99,4.94,4.96,5.0,5.12,4.99,5.08,5.09,5.28,5.05,5.27,5.36
2021-02-23 00:00:00+00:00,4.85,4.98,4.85,4.97,4.97,4.99,4.94,4.96,5.0,5.12,4.99,5.08,5.09,5.28,5.05,5.27,5.27,5.44,5.26,5.36,5.24
2021-02-24 00:00:00+00:00,4.97,4.99,4.94,4.96,5.0,5.12,4.99,5.08,5.09,5.28,5.05,5.27,5.27,5.44,5.26,5.36,5.34,5.38,5.22,5.24,5.26
2021-02-25 00:00:00+00:00,5.0,5.12,4.99,5.08,5.09,5.28,5.05,5.27,5.27,5.44,5.26,5.36,5.34,5.38,5.22,5.24,5.24,5.33,5.21,5.26,5.23
2021-02-26 00:00:00+00:00,5.09,5.28,5.05,5.27,5.27,5.44,5.26,5.36,5.34,5.38,5.22,5.24,5.24,5.33,5.21,5.26,5.26,5.31,5.22,5.23,5.24
2021-03-01 00:00:00+00:00,5.27,5.44,5.26,5.36,5.34,5.38,5.22,5.24,5.24,5.33,5.21,5.26,5.26,5.31,5.22,5.23,5.21,5.3,5.16,5.24,5.37
2021-03-02 00:00:00+00:00,5.34,5.38,5.22,5.24,5.24,5.33,5.21,5.26,5.26,5.31,5.22,5.23,5.21,5.3,5.16,5.24,5.24,5.37,5.24,5.37,5.3
2021-03-03 00:00:00+00:00,5.24,5.33,5.21,5.26,5.26,5.31,5.22,5.23,5.21,5.3,5.16,5.24,5.24,5.37,5.24,5.37,5.41,5.41,5.25,5.3,5.34
2021-03-04 00:00:00+00:00,5.26,5.31,5.22,5.23,5.21,5.3,5.16,5.24,5.24,5.37,5.24,5.37,5.41,5.41,5.25,5.3,5.28,5.35,5.26,5.34,5.29
2021-03-05 00:00:00+00:00,5.21,5.3,5.16,5.24,5.24,5.37,5.24,5.37,5.41,5.41,5.25,5.3,5.28,5.35,5.26,5.34,5.34,5.36,5.24,5.29,5.35
2021-03-08 00:00:00+00:00,5.24,5.37,5.24,5.37,5.41,5.41,5.25,5.3,5.28,5.35,5.26,5.34,5.34,5.36,5.24,5.29,5.31,5.36,5.24,5.35,5.29
2021-03-09 00:00:00+00:00,5.41,5.41,5.25,5.3,5.28,5.35,5.26,5.34,5.34,5.36,5.24,5.29,5.31,5.36,5.24,5.35,5.38,5.39,5.28,5.29,5.19
2021-03-10 00:00:00+00:00,5.28,5.35,5.26,5.34,5.34,5.36,5.24,5.29,5.31,5.36,5.24,5.35,5.38,5.39,5.28,5.29,5.3,5.33,5.1,5.19,5.14
2021-03-11 00:00:00+00:00,5.34,5.36,5.24,5.29,5.31,5.36,5.24,5.35,5.38,5.39,5.28,5.29,5.3,5.33,5.1,5.19,5.24,5.24,5.11,5.14,5.19
2021-03-12 00:00:00+00:00,5.31,5.36,5.24,5.35,5.38,5.39,5.28,5.29,5.3,5.33,5.1,5.19,5.24,5.24,5.11,5.14,5.16,5.19,5.1,5.19,5.15
2021-03-15 00:00:00+00:00,5.38,5.39,5.28,5.29,5.3,5.33,5.1,5.19,5.24,5.24,5.11,5.14,5.16,5.19,5.1,5.19,5.18,5.21,5.12,5.15,5.18
2021-03-16 00:00:00+00:00,5.3,5.33,5.1,5.19,5.24,5.24,5.11,5.14,5.16,5.19,5.1,5.19,5.18,5.21,5.12,5.15,5.15,5.19,5.1,5.18,5.32
2021-03-17 00:00:00+00:00,5.24,5.24,5.11,5.14,5.16,5.19,5.1,5.19,5.18,5.21,5.12,5.15,5.15,5.19,5.1,5.18,5.17,5.34,5.17,5.32,5.35
2021-03-18 00:00:00+00:00,5.16,5.19,5.1,5.19,5.18,5.21,5.12,5.15,5.15,5.19,5.1,5.18,5.17,5.34,5.17,5.32,5.29,5.38,5.27,5.35,5.34
2021-03-19 00:00:00+00:00,5.18,5.21,5.12,5.15,5.15,5.19,5.1,5.18,5.17,5.34,5.17,5.32,5.29,5.38,5.27,5.35,5.35,5.38,5.3,5.34,5.42
2021-03-22 00:00:00+00:00,5.15,5.19,5.1,5.18,5.17,5.34,5.17,5.32,5.29,5.38,5.27,5.35,5.35,5.38,5.3,5.34,5.31,5.47,5.29,5.42,5.43
2021-03-23 00:00:00+00:00,5.17,5.34,5.17,5.32,5.29,5.38,5.27,5.35,5.35,5.38,5.3,5.34,5.31,5.47,5.29,5.42,5.45,5.47,5.39,5.43,5.55
2021-03-24 00:00:00+00:00,5.29,5.38,5.27,5.35,5.35,5.38,5.3,5.34,5.31,5.47,5.29,5.42,5.45,5.47,5.39,5.43,5.42,5.61,5.38,5.55,5.45
2021-03-25 00:00:00+00:00,5.35,5.38,5.3,5.34,5.31,5.47,5.29,5.42,5.45,5.47,5.39,5.43,5.42,5.61,5.38,5.55,5.57,5.57,5.39,5.45,5.37
2021-03-26 00:00:00+00:00,5.31,5.47,5.29,5.42,5.45,5.47,5.39,5.43,5.42,5.61,5.38,5.55,5.57,5.57,5.39,5.45,5.4,5.47,5.36,5.37,5.47
2021-03-29 00:00:00+00:00,5.45,5.47,5.39,5.43,5.42,5.61,5.38,5.55,5.57,5.57,5.39,5.45,5.4,5.47,5.36,5.37,5.44,5.6,5.43,5.47,5.54
2021-03-30 00:00:00+00:00,5.42,5.61,5.38,5.55,5.57,5.57,5.39,5.45,5.4,5.47,5.36,5.37,5.44,5.6,5.43,5.47,5.42,5.62,5.39,5.54,5.48
2021-03-31 00:00:00+00:00,5.57,5.57,5.39,5.45,5.4,5.47,5.36,5.37,5.44,5.6,5.43,5.47,5.42,5.62,5.39,5.54,5.53,5.59,5.46,5.48,5.7
2021-04-01 00:00:00+00:00,5.4,5.47,5.36,5.37,5.44,5.6,5.43,5.47,5.42,5.62,5.39,5.54,5.53,5.59,5.46,5.48,5.51,5.75,5.46,5.7,5.67
2021-04-02 00:00:00+00:00,5.44,5.6,5.43,5.47,5.42,5.62,5.39,5.54,5.53,5.59,5.46,5.48,5.51,5.75,5.46,5.7,5.69,5.7,5.62,5.67,5.71
2021-04-06 00:00:00+00:00,5.42,5.62,5.39,5.54,5.53,5.59,5.46,5.48,5.51,5.75,5.46,5.7,5.69,5.7,5.62,5.67,5.68,5.78,5.64,5.71,5.76
2021-04-07 00:00:00+00:00,5.53,5.59,5.46,5.48,5.51,5.75,5.46,5.7,5.69,5.7,5.62,5.67,5.68,5.78,5.64,5.71,5.64,5.78,5.63,5.76,5.89
2021-04-08 00:00:00+00:00,5.51,5.75,5.46,5.7,5.69,5.7,5.62,5.67,5.68,5.78,5.64,5.71,5.64,5.78,5.63,5.76,5.74,5.95,5.69,5.89,5.81
2021-04-09 00:00:00+00:00,5.69,5.7,5.62,5.67,5.68,5.78,5.64,5.71,5.64,5.78,5.63,5.76,5.74,5.95,5.69,5.89,5.9,5.92,5.8,5.81,5.7
2021-04-12 00:00:00+00:00,5.68,5.78,5.64,5.71,5.64,5.78,5.63,5.76,5.74,5.95,5.69,5.89,5.9,5.92,5.8,5.81,5.81,5.85,5.65,5.7,5.68
2021-04-13 00:00:00+00:00,5.64,5.78,5.63,5.76,5.74,5.95,5.69,5.89,5.9,5.92,5.8,5.81,5.81,5.85,5.65,5.7,5.73,5.8,5.65,5.68,5.61
2021-04-14 00:00:00+00:00,5.74,5.95,5.69,5.89,5.9,5.92,5.8,5.81,5.81,5.85,5.65,5.7,5.73,5.8,5.65,5.68,5.66,5.72,5.59,5.61,5.62
