date,open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2018-01-09 00:00:00+00:00,15.67,15.99,15.6,15.97,15.93,16.46,15.83,16.26,16.13,16.2,15.87,15.95,15.96,16.29,15.83,15.98,15.98,16.07,15.66,16.01,15.78
2018-01-10 00:00:00+00:00,15.93,16.46,15.83,16.26,16.13,16.2,15.87,15.95,15.96,16.29,15.83,15.98,15.98,16.07,15.66,16.01,15.92,16.09,15.75,15.78,15.59
2018-01-11 00:00:00+00:00,16.13,16.2,15.87,15.95,15.96,16.29,15.83,15.98,15.98,16.07,15.66,16.01,15.92,16.09,15.75,15.78,15.82,15.97,15.54,15.59,15.91
2018-01-12 00:00:00+00:00,15.96,16.29,15.83,15.98,15.98,16.07,15.66,16.01,15.92,16.09,15.75,15.78,15.82,15.97,15.54,15.59,15.53,15.96,15.33,15.91,16.05
2018-01-15 00:00:00+00:00,15.98,16.07,15.66,16.01,15.92,16.09,15.75,15.78,15.82,15.97,15.54,15.59,15.53,15.96,15.33,15.91,15.91,16.08,15.66,16.05,15.38
2018-01-16 00:00:00+00:00,15.92,16.09,15.75,15.78,15.82,15.97,15.54,15.59,15.53,15.96,15.33,15.91,15.91,16.08,15.66,16.05,15.98,15.98,15.25,15.38,15.05
2018-01-17 00:00:00+00:00,15.82,15.97,15.54,15.59,15.53,15.96,15.33,15.91,15.91,16.08,15.66,16.05,15.98,15.98,15.25,15.38,15.36,15.49,14.84,15.05,14.74
2018-01-18 00:00:00+00:00,15.53,15.96,15.33,15.91,15.91,16.08,15.66,16.05,15.98,15.98,15.25,15.38,15.36,15.49,14.84,15.05,15.05,15.05,14.64,14.74,14.56
2018-01-19 00:00:00+00:00,15.91,16.08,15.66,16.05,15.98,15.98,15.25,15.38,15.36,15.49,14.84,15.05,15.05,15.05,14.64,14.74,14.76,14.91,14.56,14.56,14.75
2018-01-22 00:00:00+00:00,15.98,15.98,15.25,15.38,15.36,15.49,14.84,15.05,15.05,15.05,14.64,14.74,14.76,14.91,14.56,14.56,14.62,14.83,14.57,14.75,15.18
2018-01-23 00:00:00+00:00,15.36,15.49,14.84,15.05,15.05,15.05,14.64,14.74,14.76,14.91,14.56,14.56,14.62,14.83,14.57,14.75,15.01,15.33,14.82,15.18,15.08
2018-01-24 00:00:00+00:00,15.05,15.05,14.64,14.74,14.76,14.91,14.56,14.56,14.62,14.83,14.57,14.75,15.01,15.33,14.82,15.18,15.11,15.35,15.01,15.08,16.03
2018-01-25 00:00:00+00:00,14.76,14.91,14.56,14.56,14.62,14.83,14.57,14.75,15.01,15.33,14.82,15.18,15.11,15.35,15.01,15.08,15.09,16.03,15.0,16.03,16.09
2018-01-26 00:00:00+00:00,14.62,14.83,14.57,14.75,15.01,15.33,14.82,15.18,15.11,15.35,15.01,15.08,15.09,16.03,15.0,16.03,15.92,16.61,15.91,16.09,16.16
2018-01-29 00:00:00+00:00,15.01,15.33,14.82,15.18,15.11,15.35,15.01,15.08,15.09,16.03,15.0,16.03,15.92,16.61,15.91,16.09,16.14,16.36,16.01,16.16,16.33
2018-01-30 00:00:00+00:00,15.11,15.35,15.01,15.08,15.09,16.03,15.0,16.03,15.92,16.61,15.91,16.09,16.14,16.36,16.01,16.16,16.16,16.45,16.04,16.33,16.28
2018-01-31 00:00:00+00:00,15.09,16.03,15.0,16.03,15.92,16.61,15.91,16.09,16.14,16.36,16.01,16.16,16.16,16.45,16.04,16.33,16.24,16.49,16.16,16.28,15.65
2018-02-01 00:00:00+00:00,15.92,16.61,15.91,16.09,16.14,16.36,16.01,16.16,16.16,16.45,16.04,16.33,16.24,16.49,16.16,16.28,16.28,16.32,15.56,15.65,15.81
