date,open(t-9),high(t-9),low(t-9),close(t-9),open(t-8),high(t-8),low(t-8),close(t-8),open(t-7),high(t-7),low(t-7),close(t-7),open(t-6),high(t-6),low(t-6),close(t-6),open(t-5),high(t-5),low(t-5),close(t-5),open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2019-01-16 00:00:00+00:00,9.18,9.21,9.02,9.1,9.08,9.23,9.06,9.1,9.01,9.56,8.94,9.48,9.5,9.74,9.45,9.6,9.6,9.66,9.54,9.58,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.28
2019-01-17 00:00:00+00:00,9.08,9.23,9.06,9.1,9.01,9.56,8.94,9.48,9.5,9.74,9.45,9.6,9.6,9.66,9.54,9.58,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.04
2019-01-18 00:00:00+00:00,9.01,9.56,8.94,9.48,9.5,9.74,9.45,9.6,9.6,9.66,9.54,9.58,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.16
2019-01-21 00:00:00+00:00,9.5,9.74,9.45,9.6,9.6,9.66,9.54,9.58,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.03
2019-01-22 00:00:00+00:00,9.6,9.66,9.54,9.58,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,8.81
2019-01-23 00:00:00+00:00,9.59,9.71,9.39,9.45,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.93
2019-01-24 00:00:00+00:00,9.49,9.49,9.29,9.36,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.14
2019-01-25 00:00:00+00:00,9.38,9.46,9.2,9.3,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,8.94
2019-01-28 00:00:00+00:00,9.32,9.33,8.99,9.05,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.96
2019-01-29 00:00:00+00:00,9.03,9.2,8.98,9.18,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,8.68
2019-01-30 00:00:00+00:00,9.18,9.56,9.17,9.28,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.5
2019-01-31 00:00:00+00:00,9.3,9.3,9.02,9.04,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.55
2019-02-01 00:00:00+00:00,9.08,9.16,9.0,9.16,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.83
2019-02-11 00:00:00+00:00,9.17,9.21,9.0,9.03,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,9.14
2019-02-12 00:00:00+00:00,9.02,9.02,8.7,8.81,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,8.9,9.16,8.85,9.14,9.15
2019-02-13 00:00:00+00:00,8.78,8.93,8.66,8.93,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,8.9,9.16,8.85,9.14,9.13,9.19,9.07,9.15,9.43
2019-02-14 00:00:00+00:00,9.1,9.22,8.85,9.14,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,8.9,9.16,8.85,9.14,9.13,9.19,9.07,9.15,9.17,9.56,9.11,9.43,9.42
2019-02-15 00:00:00+00:00,9.0,9.09,8.9,8.94,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,8.9,9.16,8.85,9.14,9.13,9.19,9.07,9.15,9.17,9.56,9.11,9.43,9.38,9.51,9.33,9.42,9.47
2019-02-18 00:00:00+00:00,8.91,9.13,8.91,8.96,9.0,9.0,8.42,8.68,8.63,8.77,8.49,8.5,8.52,8.66,8.46,8.55,8.6,8.86,8.58,8.83,8.9,9.16,8.85,9.14,9.13,9.19,9.07,9.15,9.17,9.56,9.11,9.43,9.38,9.51,9.33,9.42,9.39,9.6,9.33,9.47,9.84
